eventTime,sourceIPAddress,userAgent,eventName,eventSource,awsRegion,userIdentitytype,eventType,errorCode,requestParametersinstanceType,is_error,ip_frequency,event_frequency,region_frequency,anomaly_label,anomaly_score,anomaly_type
2019-09,24.251,Boto3,RunInstances,ec2.amazonaws.com,eu-west-3,IAMUser,AwsApiCall,Client.RequestLimitExceeded,m3.large,1,10208,17605,2589,1,0.01275047721750222,Normal
2017-05,255.253,aws-sdk-java,GetPolicyVersion,iam.amazonaws.com,us-east-1,IAMUser,AwsApiCall,,NotApplicable,0,31011,5817,53892,1,0.007537516732854965,Normal
2019-08,5.205,Boto3,RunInstances,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,Client.UnauthorizedOperation,m5d.xlarge,1,4196,17605,89128,1,0.017393886680048487,Normal
2019-08,5.205,Boto3,RunInstances,ec2.amazonaws.com,us-east-2,IAMUser,AwsApiCall,Client.RequestLimitExceeded,r5d.large,1,4196,17605,5233,1,0.019800172218252865,Normal
2019-09,24.251,Boto3,RunInstances,ec2.amazonaws.com,ap-south-1,IAMUser,AwsApiCall,Client.RequestLimitExceeded,h1.16xlarge,1,10208,17605,3765,1,0.023881235519407518,Normal
2017-10,24.98,aws-cli,GenerateCredentialReport,iam.amazonaws.com,us-east-1,IAMUser,AwsApiCall,AccessDenied,NotApplicable,1,2630,1888,53892,1,0.0,Normal
2019-11,8.103,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,2869,37407,89128,1,0.018184977589420614,Normal
2020-03,252.5,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,145,37407,89128,1,0.042655696116146447,Normal
2020-01,253.8,Boto3,GetEncryptionConfig,xray.amazonaws.com,us-west-2,AssumedRole,AwsApiCall,AccessDenied,NotApplicable,1,871,12,89128,1,0.057407049740326455,Normal
2017-05,255.253,Boto3,AssumeRole,sts.amazonaws.com,us-east-1,IAMUser,AwsApiCall,,NotApplicable,0,31011,32561,53892,1,0.00500342663257225,Normal
2017-03,4.45,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,12,37407,89128,1,0.042617253546511746,Normal
2017-05,255.253,Boto3,DescribeKeyPairs,ec2.amazonaws.com,ap-southeast-2,AssumedRole,AwsApiCall,,NotApplicable,0,31011,281,4130,1,0.043083145818607615,Normal
2020-03,237.87,Boto3,DescribeCacheParameterGroups,elasticache.amazonaws.com,ap-southeast-1,IAMUser,AwsApiCall,AccessDenied,NotApplicable,1,4133,108,3747,1,0.044751996435498376,Normal
2019-12,Unknown,ec2.amazonaws.com,AssumeRole,sts.amazonaws.com,us-west-2,AWSService,AwsApiCall,,NotApplicable,0,28065,32561,89128,1,0.03033983463386658,Normal
2020-03,237.87,Boto3,DescribeDBSecurityGroups,rds.amazonaws.com,ap-southeast-2,IAMUser,AwsApiCall,,NotApplicable,0,4133,591,4130,1,0.027602943840543404,Normal
2020-01,246.253,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,126,37407,89128,1,0.043778954087904776,Normal
2019-10,250.214,Boto3,ListPipelines,codepipeline.amazonaws.com,us-east-1,IAMUser,AwsApiCall,,NotApplicable,0,720,87,53892,1,0.06571094542489891,Normal
2020-01,134.146,Boto3,DescribeVpcs,ec2.amazonaws.com,eu-north-1,IAMUser,AwsApiCall,,NotApplicable,0,4621,1492,1493,1,0.011910105973244378,Normal
2019-09,24.251,Boto3,RunInstances,ec2.amazonaws.com,eu-north-1,IAMUser,AwsApiCall,Client.RequestLimitExceeded,i2.xlarge,1,10208,17605,1493,1,0.009621774325163313,Normal
2019-11,8.103,aws-cli,ListPolicies,iam.amazonaws.com,us-east-1,IAMUser,AwsApiCall,,NotApplicable,0,2869,1552,53892,1,0.008941453854307002,Normal
2019-09,6.237,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,207,37407,89128,1,0.03962052546782435,Normal
2017-03,255.252,Boto3,DescribeSnapshots,ec2.amazonaws.com,us-east-1,IAMUser,AwsApiCall,,NotApplicable,0,168,37407,53892,1,0.03007712093181425,Normal
2020-01,134.146,Boto3,DescribeStacks,cloudformation.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,4621,397,89128,1,0.06325223341068853,Normal
2019-11,81.33,[aws-cli,ListBuckets,s3.amazonaws.com,us-east-1,IAMUser,AwsApiCall,,NotApplicable,0,13,5470,53892,1,0.027417932595403316,Normal
2020-03,93.6,aws-cli,GetUser,iam.amazonaws.com,us-east-1,IAMUser,AwsApiCall,,NotApplicable,0,192,1189,53892,1,0.014365502641687733,Normal
2018-03,Unknown,ec2.amazonaws.com,AssumeRole,sts.amazonaws.com,us-west-2,AWSService,AwsApiCall,,NotApplicable,0,28065,32561,89128,1,0.03033983463386658,Normal
2019-10,250.58,Boto3,DescribeDBInstances,rds.amazonaws.com,eu-west-2,IAMUser,AwsApiCall,,NotApplicable,0,2490,951,5152,1,0.010782692273983041,Normal
2019-09,24.251,Boto3,RunInstances,ec2.amazonaws.com,eu-central-1,IAMUser,AwsApiCall,Client.InstanceLimitExceeded,x1e.16xlarge,1,10208,17605,5063,1,0.024559089127805578,Normal
2017-05,Unknown,ec2.amazonaws.com,AssumeRole,sts.amazonaws.com,us-west-2,AWSService,AwsApiCall,,NotApplicable,0,28065,32561,89128,1,0.03033983463386658,Normal
2019-09,211.111,Boto3,GetConnections,glue.amazonaws.com,ca-central-1,IAMUser,AwsApiCall,AccessDeniedException,NotApplicable,1,617,26,3463,1,0.04230925402846486,Normal
2017-07,Unknown,config.amazonaws.com,AssumeRole,sts.amazonaws.com,us-west-2,AWSService,AwsApiCall,,NotApplicable,0,28065,32561,89128,1,0.03033983463386658,Normal
2017-03,5.1,aws-cli,ListAttachedUserPolicies,iam.amazonaws.com,us-east-1,IAMUser,AwsApiCall,NoSuchEntityException,NotApplicable,1,80,1260,53892,1,0.040617912144551294,Normal
2019-08,5.205,Boto3,RunInstances,ec2.amazonaws.com,us-east-2,IAMUser,AwsApiCall,Client.RequestLimitExceeded,r3.4xlarge,1,4196,17605,5233,1,0.019800172218252865,Normal
2020-01,Unknown,ec2.amazonaws.com,AssumeRole,sts.amazonaws.com,us-west-2,AWSService,AwsApiCall,,NotApplicable,0,28065,32561,89128,1,0.03033983463386658,Normal
2020-01,Unknown,ec2.amazonaws.com,AssumeRole,sts.amazonaws.com,us-west-2,AWSService,AwsApiCall,,NotApplicable,0,28065,32561,89128,1,0.03033983463386658,Normal
2019-09,Unknown,ec2.amazonaws.com,AssumeRole,sts.amazonaws.com,us-west-2,AWSService,AwsApiCall,,NotApplicable,0,28065,32561,89128,1,0.03033983463386658,Normal
2019-10,41.253,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,142,37407,89128,1,0.0431152332672195,Normal
2017-04,Unknown,ec2.amazonaws.com,AssumeRole,sts.amazonaws.com,us-west-2,AWSService,AwsApiCall,,NotApplicable,0,28065,32561,89128,1,0.03033983463386658,Normal
2017-04,Unknown,ec2.amazonaws.com,AssumeRole,sts.amazonaws.com,us-west-2,AWSService,AwsApiCall,,NotApplicable,0,28065,32561,89128,1,0.03033983463386658,Normal
2017-07,Unknown,ec2-frontend-api.amazonaws.com,DescribeFlowLogs,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,28065,797,89128,1,0.040702582648384666,Normal
2019-10,4.73,aws-cli,GetCallerIdentity,sts.amazonaws.com,us-east-1,IAMUser,AwsApiCall,,NotApplicable,0,169,3927,53892,-1,-0.006429938996707574,Behavioral Anomaly
2019-11,20.240,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,67,37407,89128,1,0.044981834607440485,Normal
2020-03,237.87,[aws-cli,GetBucketAcl,s3.amazonaws.com,us-west-2,IAMUser,AwsApiCall,NoSuchBucket,NotApplicable,1,4133,5427,89128,1,0.01007851175121055,Normal
2020-03,122.52,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,176,37407,89128,1,0.04178305996041626,Normal
2020-03,5.189,[aws-cli,GetBucketAcl,s3.amazonaws.com,us-west-2,IAMUser,AwsApiCall,NoSuchBucket,NotApplicable,1,1608,5427,89128,1,0.012637719438834183,Normal
2017-05,255.253,Boto3,ListEntitiesForPolicy,iam.amazonaws.com,us-east-1,AssumedRole,AwsApiCall,,NotApplicable,0,31011,3114,53892,1,0.0023861129335542852,Normal
2020-03,5.189,[aws-cli,GetBucketAcl,s3.amazonaws.com,us-west-2,IAMUser,AwsApiCall,NoSuchBucket,NotApplicable,1,1608,5427,89128,1,0.012637719438834183,Normal
2019-12,220.1,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,46,37407,89128,1,0.04475063254111544,Normal
2018-02,245.181,aws-cli,AssumeRole,sts.amazonaws.com,us-east-1,IAMUser,AwsApiCall,AccessDenied,NotApplicable,1,885,32561,53892,-1,-0.00805684359920339,Security Error
2018-04,155.63,Boto3,RunInstances,ec2.amazonaws.com,us-east-1,IAMUser,AwsApiCall,Client.InstanceLimitExceeded,m5.24xlarge,1,5444,17605,53892,1,0.022576570116991712,Normal
2017-05,255.253,Boto3,AssumeRole,sts.amazonaws.com,us-east-1,IAMUser,AwsApiCall,,NotApplicable,0,31011,32561,53892,1,0.00500342663257225,Normal
2019-12,Unknown,ec2.amazonaws.com,AssumeRole,sts.amazonaws.com,us-west-2,AWSService,AwsApiCall,,NotApplicable,0,28065,32561,89128,1,0.03033983463386658,Normal
2020-01,0.242,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,463,37407,89128,1,0.033535589170660796,Normal
2018-04,145.121,aws-sdk-nodejs,RunInstances,ec2.amazonaws.com,ca-central-1,IAMUser,AwsApiCall,Client.UnauthorizedOperation,c4.large,1,547,17605,3463,1,0.007516223041734327,Normal
2017-08,179.124,Boto3,DescribeSpotPriceHistory,ec2.amazonaws.com,us-west-1,IAMUser,AwsApiCall,,NotApplicable,0,84,8283,4967,1,0.0074622527386719595,Normal
2019-09,24.251,Boto3,RunInstances,ec2.amazonaws.com,ap-southeast-1,IAMUser,AwsApiCall,Client.RequestLimitExceeded,m5.4xlarge,1,10208,17605,3747,1,0.023090342727458635,Normal
2019-08,223.201,[Boto3,GetBucketRequestPayment,s3.amazonaws.com,us-west-2,IAMUser,AwsApiCall,AllAccessDisabled,NotApplicable,1,1847,202,89128,1,0.0571373653855089,Normal
2018-01,166.140,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,404,37407,89128,1,0.0352489503998189,Normal
2018-01,139.254,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-east-1,IAMUser,AwsApiCall,,NotApplicable,0,20,37407,53892,1,0.031435679887195755,Normal
2019-12,152.250,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,322,37407,89128,1,0.037423833516324,Normal
2020-02,100.226,Boto3,DescribeReservedDBInstances,rds.amazonaws.com,us-east-1,AssumedRole,AwsApiCall,AccessDenied,NotApplicable,1,1579,72,53892,1,0.06041887825038511,Normal
2019-09,24.251,Boto3,RunInstances,ec2.amazonaws.com,ca-central-1,IAMUser,AwsApiCall,Client.Unsupported,z1d.large,1,10208,17605,3463,1,0.016974666024185514,Normal
2017-05,255.253,Boto3,AssumeRole,sts.amazonaws.com,us-east-1,IAMUser,AwsApiCall,,NotApplicable,0,31011,32561,53892,1,0.00500342663257225,Normal
2020-03,5.189,[aws-cli,GetBucketAcl,s3.amazonaws.com,us-west-2,IAMUser,AwsApiCall,NoSuchBucket,NotApplicable,1,1608,5427,89128,1,0.012637719438834183,Normal
2020-01,250.32,Boto3,DescribeClusters,redshift.amazonaws.com,sa-east-1,IAMUser,AwsApiCall,AccessDenied,NotApplicable,1,858,619,3621,1,0.012546481113896057,Normal
2017-03,227.255,[Boto3,GetBucketLogging,s3.amazonaws.com,us-west-2,IAMUser,AwsApiCall,AccessDenied,NotApplicable,1,184,789,89128,1,0.0144788373343393,Normal
2019-09,220.246,[aws-cli,ListBuckets,s3.amazonaws.com,us-east-1,IAMUser,AwsApiCall,,NotApplicable,0,107,5470,53892,1,0.025899308717318825,Normal
2017-05,255.253,Boto3,GetPolicyVersion,iam.amazonaws.com,us-east-1,AssumedRole,AwsApiCall,,NotApplicable,0,31011,5817,53892,1,0.007537516732854965,Normal
2017-08,167.210,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,56,37407,89128,1,0.04455141500012988,Normal
2017-03,201.249,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,52,37407,89128,1,0.0451265230390116,Normal
2017-05,255.253,Boto3,GetTrailStatus,cloudtrail.amazonaws.com,us-east-1,AssumedRole,AwsApiCall,,NotApplicable,0,31011,578,53892,1,0.02319679098993166,Normal
2020-02,132.139,Boto3,DescribeClusterSecurityGroups,redshift.amazonaws.com,eu-west-1,IAMUser,AwsApiCall,,NotApplicable,0,1028,291,5755,1,0.05572877207139021,Normal
2019-08,5.205,Boto3,RunInstances,ec2.amazonaws.com,eu-west-3,IAMUser,AwsApiCall,Client.Unsupported,c3.large,1,4196,17605,2589,1,0.009884924576472387,Normal
2020-03,237.87,[aws-cli,GetBucketAcl,s3.amazonaws.com,us-west-2,IAMUser,AwsApiCall,NoSuchBucket,NotApplicable,1,4133,5427,89128,1,0.01007851175121055,Normal
2019-09,24.251,Boto3,RunInstances,ec2.amazonaws.com,eu-west-2,IAMUser,AwsApiCall,Client.RequestLimitExceeded,m5.2xlarge,1,10208,17605,5152,1,0.023378584035178784,Normal
2019-11,226.156,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,34,37407,89128,1,0.044650471464219965,Normal
2020-02,100.226,Boto3,ListEndpointConfigs,sagemaker.amazonaws.com,us-east-1,AssumedRole,AwsApiCall,AccessDenied,NotApplicable,1,1579,24,53892,1,0.06041887825038511,Normal
2019-09,37.54,aws-cli,ListDocuments,ssm.amazonaws.com,ap-southeast-2,IAMUser,AwsApiCall,,NotApplicable,0,478,51,4130,1,0.05699955684294328,Normal
2017-04,24.253,awslambda-worker,CreateLogStream,logs.amazonaws.com,us-west-2,AssumedRole,AwsApiCall,,NotApplicable,0,1,1630,89128,1,0.004641881056194785,Normal
2018-04,155.63,Boto3,RunInstances,ec2.amazonaws.com,sa-east-1,IAMUser,AwsApiCall,Server.InsufficientInstanceCapacity,i3.16xlarge,1,5444,17605,3621,1,0.01621525737820556,Normal
2019-11,8.103,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,2869,37407,89128,1,0.018184977589420614,Normal
2017-05,Unknown,support.amazonaws.com,DescribeAccountLimits,autoscaling.amazonaws.com,ap-northeast-2,Root,AwsApiCall,,NotApplicable,0,28065,119,3712,1,0.04399256363526466,Normal
2020-01,8.101,aws-cli,CreateVolume,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,Client.UnauthorizedOperation,NotApplicable,1,899,342,89128,1,0.05718866014370244,Normal
2018-02,112.255,Boto3,AssumeRole,sts.amazonaws.com,us-east-1,IAMUser,AwsApiCall,AccessDenied,NotApplicable,1,1820,32561,53892,-1,-0.006545678772027219,Security Error
2017-05,255.253,Boto,DescribeVpcs,ec2.amazonaws.com,eu-west-1,AssumedRole,AwsApiCall,,NotApplicable,0,31011,1492,5755,-1,-0.0005147663355775656,Behavioral Anomaly
2017-11,121.54,aws-cli,DescribeDeliveryChannelStatus,config.amazonaws.com,us-east-2,IAMUser,AwsApiCall,,NotApplicable,0,268,93,5233,1,0.0574073751542013,Normal
2017-09,Unknown,config.amazonaws.com,AssumeRole,sts.amazonaws.com,us-west-2,AWSService,AwsApiCall,,NotApplicable,0,28065,32561,89128,1,0.03033983463386658,Normal
2019-08,5.205,Boto3,RunInstances,ec2.amazonaws.com,us-east-2,IAMUser,AwsApiCall,Client.RequestLimitExceeded,i3.metal,1,4196,17605,5233,1,0.019800172218252865,Normal
2020-01,5.255,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,50,37407,89128,1,0.0451265230390116,Normal
2019-10,178.6,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,147,37407,89128,1,0.042655696116146447,Normal
2020-01,153.1,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,161,37407,89128,1,0.04254715479196808,Normal
2017-03,2.91,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,25,37407,89128,1,0.044650471464219965,Normal
2020-01,Unknown,ec2.amazonaws.com,AssumeRole,sts.amazonaws.com,us-west-2,AWSService,AwsApiCall,,NotApplicable,0,28065,32561,89128,1,0.03033983463386658,Normal
2017-10,96.111,Boto3,DescribeSpotPriceHistory,ec2.amazonaws.com,us-west-1,IAMUser,AwsApiCall,,NotApplicable,0,410,8283,4967,1,0.009278121072051781,Normal
2017-04,Unknown,ec2.amazonaws.com,AssumeRole,sts.amazonaws.com,us-west-2,AWSService,AwsApiCall,,NotApplicable,0,28065,32561,89128,1,0.03033983463386658,Normal
2019-09,24.251,Boto3,RunInstances,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,Client.RequestLimitExceeded,r3.4xlarge,1,10208,17605,89128,1,0.014895211541265496,Normal
2017-12,Unknown,ec2.amazonaws.com,AssumeRole,sts.amazonaws.com,us-west-2,AWSService,AwsApiCall,,NotApplicable,0,28065,32561,89128,1,0.03033983463386658,Normal
2019-09,24.251,Boto3,RunInstances,ec2.amazonaws.com,sa-east-1,IAMUser,AwsApiCall,Client.RequestLimitExceeded,i2.4xlarge,1,10208,17605,3621,1,0.021822737815810955,Normal
2018-01,166.140,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,404,37407,89128,1,0.0352489503998189,Normal
2017-05,255.253,Boto3,ListEntitiesForPolicy,iam.amazonaws.com,us-east-1,AssumedRole,AwsApiCall,,NotApplicable,0,31011,3114,53892,1,0.0023861129335542852,Normal
2017-11,163.21,Boto3,DescribeSpotPriceHistory,ec2.amazonaws.com,ap-southeast-2,IAMUser,AwsApiCall,,NotApplicable,0,6401,8283,4130,1,0.015286197879339936,Normal
2019-11,8.103,aws-cli,GetPolicy,iam.amazonaws.com,us-east-1,IAMUser,AwsApiCall,,NotApplicable,0,2869,1299,53892,1,0.023347284685916625,Normal
2017-05,Unknown,config.amazonaws.com,AssumeRole,sts.amazonaws.com,us-west-2,AWSService,AwsApiCall,,NotApplicable,0,28065,32561,89128,1,0.03033983463386658,Normal
2019-09,24.251,Boto3,RunInstances,ec2.amazonaws.com,us-east-1,IAMUser,AwsApiCall,Client.UnauthorizedOperation,r5.16xlarge,1,10208,17605,53892,1,0.020917101470348032,Normal
2017-05,255.253,aws-sdk-java,ListGroupsForUser,iam.amazonaws.com,us-east-1,IAMUser,AwsApiCall,,NotApplicable,0,31011,170,53892,1,0.05569858874726291,Normal
2017-05,255.253,Boto3,AssumeRole,sts.amazonaws.com,us-east-1,IAMUser,AwsApiCall,,NotApplicable,0,31011,32561,53892,1,0.00500342663257225,Normal
2020-02,Unknown,ec2.amazonaws.com,AssumeRole,sts.amazonaws.com,us-west-2,AWSService,AwsApiCall,,NotApplicable,0,28065,32561,89128,1,0.03033983463386658,Normal
2020-01,8.101,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,899,37407,89128,1,0.029127963079969732,Normal
2017-10,96.111,Boto3,DescribeSpotPriceHistory,ec2.amazonaws.com,ap-northeast-2,IAMUser,AwsApiCall,,NotApplicable,0,410,8283,3712,1,0.010434053783649921,Normal
2020-02,5.46,[aws-cli,ListBuckets,s3.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,395,5470,89128,1,0.021798352595144732,Normal
2017-05,255.253,Boto3,ListEntitiesForPolicy,iam.amazonaws.com,us-east-1,AssumedRole,AwsApiCall,,NotApplicable,0,31011,3114,53892,1,0.0023861129335542852,Normal
2017-12,Unknown,ec2.amazonaws.com,AssumeRole,sts.amazonaws.com,us-west-2,AWSService,AwsApiCall,,NotApplicable,0,28065,32561,89128,1,0.03033983463386658,Normal
